,ToS,stock,seller,buyer,volume,tradeID
0,993,1,world,djruh,2.0,993|1worlddjruh2.0
0,993,2,djruh,world,-31.0,993|2worlddjruh-31.0
0,993,3,world,djruh,26.0,993|3worlddjruh26.0
0,993,4,hjmxr,world,-567.0,993|4worldhjmxr-567.0
0,993,5,world,hjmxr,409.0,993|5worldhjmxr409.0
0,993,8,hipzw,world,-30.0,993|8worldhipzw-30.0
0,993,9,world,hipzw,62.0,993|9worldhipzw62.0
0,993,11,world,hipzw,10.0,993|11worldhipzw10.0
0,993,13,wizey,world,-90.0,993|13worldwizey-90.0
0,993,15,world,wizey,76.0,993|15worldwizey76.0
0,993,16,uitcq,world,-3.0,993|16worlduitcq-3.0
0,993,17,uitcq,world,-43.0,993|17worlduitcq-43.0
0,993,19,world,uitcq,17.0,993|19worlduitcq17.0
0,994,1,world,djruh,1.0,994|1worlddjruh1.0
0,994,2,world,djruh,2.0,994|2worlddjruh2.0
0,994,3,djruh,world,-10.0,994|3worlddjruh-10.0
0,994,4,world,hjmxr,178.0,994|4worldhjmxr178.0
0,994,5,hjmxr,world,-163.0,994|5worldhjmxr-163.0
0,994,8,world,hipzw,34.0,994|8worldhipzw34.0
0,994,11,hipzw,world,-53.0,994|11worldhipzw-53.0
0,994,13,wizey,world,-11.0,994|13worldwizey-11.0
0,994,15,wizey,world,-34.0,994|15worldwizey-34.0
0,994,16,uitcq,world,-30.0,994|16worlduitcq-30.0
0,994,17,world,uitcq,15.0,994|17worlduitcq15.0
0,994,19,world,uitcq,39.0,994|19worlduitcq39.0
0,995,1,djruh,world,-4.0,995|1worlddjruh-4.0
0,995,2,world,djruh,19.0,995|2worlddjruh19.0
0,995,3,djruh,world,-8.0,995|3worlddjruh-8.0
0,995,4,world,hjmxr,21.0,995|4worldhjmxr21.0
0,995,5,hjmxr,world,-3.0,995|5worldhjmxr-3.0
0,995,8,world,hipzw,4.0,995|8worldhipzw4.0
0,995,9,world,hipzw,18.0,995|9worldhipzw18.0
0,995,11,hipzw,world,-15.0,995|11worldhipzw-15.0
0,995,13,wizey,world,-4.0,995|13worldwizey-4.0
0,995,15,wizey,world,-1.0,995|15worldwizey-1.0
0,995,16,world,uitcq,1.0,995|16worlduitcq1.0
0,995,17,uitcq,world,-16.0,995|17worlduitcq-16.0
0,995,19,world,uitcq,20.0,995|19worlduitcq20.0
0,996,1,world,djruh,13.0,996|1worlddjruh13.0
0,996,2,djruh,world,-17.0,996|2worlddjruh-17.0
0,996,3,world,djruh,8.0,996|3worlddjruh8.0
0,996,4,hjmxr,world,-214.0,996|4worldhjmxr-214.0
0,996,5,world,hjmxr,156.0,996|5worldhjmxr156.0
0,996,8,world,hipzw,85.0,996|8worldhipzw85.0
0,996,9,hipzw,world,-18.0,996|9worldhipzw-18.0
0,996,11,hipzw,world,-117.0,996|11worldhipzw-117.0
0,996,13,world,wizey,13.0,996|13worldwizey13.0
0,996,15,wizey,world,-26.0,996|15worldwizey-26.0
0,996,16,uitcq,world,-33.0,996|16worlduitcq-33.0
0,996,17,uitcq,world,-1.0,996|17worlduitcq-1.0
0,996,19,world,uitcq,46.0,996|19worlduitcq46.0
0,997,1,djruh,world,-18.0,997|1worlddjruh-18.0
0,997,2,world,djruh,13.0,997|2worlddjruh13.0
0,997,3,world,djruh,17.0,997|3worlddjruh17.0
0,997,4,world,hjmxr,484.0,997|4worldhjmxr484.0
0,997,5,hjmxr,world,-384.0,997|5worldhjmxr-384.0
0,997,8,hipzw,world,-2.0,997|8worldhipzw-2.0
0,997,9,hipzw,world,-64.0,997|9worldhipzw-64.0
0,997,11,world,hipzw,40.0,997|11worldhipzw40.0
0,997,13,world,wizey,10.0,997|13worldwizey10.0
0,997,15,world,wizey,33.0,997|15worldwizey33.0
0,997,16,uitcq,world,-32.0,997|16worlduitcq-32.0
0,997,17,uitcq,world,-5.0,997|17worlduitcq-5.0
0,997,19,world,uitcq,54.0,997|19worlduitcq54.0
0,998,1,world,djruh,4.0,998|1worlddjruh4.0
0,998,2,djruh,world,-3.0,998|2worlddjruh-3.0
0,998,3,world,djruh,8.0,998|3worlddjruh8.0
0,998,4,world,hjmxr,169.0,998|4worldhjmxr169.0
0,998,5,hjmxr,world,-155.0,998|5worldhjmxr-155.0
0,998,8,hipzw,world,-52.0,998|8worldhipzw-52.0
0,998,9,world,hipzw,7.0,998|9worldhipzw7.0
0,998,11,world,hipzw,59.0,998|11worldhipzw59.0
0,998,13,world,wizey,4.0,998|13worldwizey4.0
0,998,16,world,uitcq,2.0,998|16worlduitcq2.0
0,998,17,uitcq,world,-5.0,998|17worlduitcq-5.0
0,998,19,uitcq,world,-8.0,998|19worlduitcq-8.0
0,999,1,djruh,world,-16.0,999|1worlddjruh-16.0
0,999,2,world,djruh,25.0,999|2worlddjruh25.0
0,999,3,djruh,world,-5.0,999|3worlddjruh-5.0
0,999,4,world,hjmxr,443.0,999|4worldhjmxr443.0
0,999,5,hjmxr,world,-402.0,999|5worldhjmxr-402.0
0,999,8,hipzw,world,-95.0,999|8worldhipzw-95.0
0,999,9,world,hipzw,93.0,999|9worldhipzw93.0
0,999,11,world,hipzw,29.0,999|11worldhipzw29.0
0,999,13,wizey,world,-1.0,999|13worldwizey-1.0
0,999,15,world,wizey,36.0,999|15worldwizey36.0
0,999,16,uitcq,world,-13.0,999|16worlduitcq-13.0
0,999,17,uitcq,world,-40.0,999|17worlduitcq-40.0
0,999,19,world,uitcq,40.0,999|19worlduitcq40.0
0,1000,1,djruh,world,-17.0,1000|1worlddjruh-17.0
0,1000,2,world,djruh,10.0,1000|2worlddjruh10.0
0,1000,3,world,djruh,13.0,1000|3worlddjruh13.0
0,1000,4,hjmxr,world,-40.0,1000|4worldhjmxr-40.0
0,1000,8,hipzw,world,-5.0,1000|8worldhipzw-5.0
0,1000,9,hipzw,world,-62.0,1000|9worldhipzw-62.0
0,1000,11,world,hipzw,43.0,1000|11worldhipzw43.0
0,1000,13,world,wizey,175.0,1000|13worldwizey175.0
0,1000,15,wizey,world,-176.0,1000|15worldwizey-176.0
0,1000,16,world,uitcq,8.0,1000|16worlduitcq8.0
0,1000,17,uitcq,world,-22.0,1000|17worlduitcq-22.0
0,1000,19,uitcq,world,-1.0,1000|19worlduitcq-1.0
0,1001,2,djruh,world,-2.0,1001|2worlddjruh-2.0
0,1001,3,world,djruh,1.0,1001|3worlddjruh1.0
0,1001,4,hjmxr,world,-34.0,1001|4worldhjmxr-34.0
0,1001,5,hjmxr,world,-2.0,1001|5worldhjmxr-2.0
0,1001,8,world,hipzw,48.0,1001|8worldhipzw48.0
0,1001,9,hipzw,world,-67.0,1001|9worldhipzw-67.0
0,1001,11,world,hipzw,21.0,1001|11worldhipzw21.0
0,1001,13,world,wizey,4.0,1001|13worldwizey4.0
0,1001,15,wizey,world,-22.0,1001|15worldwizey-22.0
0,1001,16,uitcq,world,-7.0,1001|16worlduitcq-7.0
0,1001,17,world,uitcq,23.0,1001|17worlduitcq23.0
0,1001,19,world,uitcq,6.0,1001|19worlduitcq6.0
0,1002,1,djruh,world,-2.0,1002|1worlddjruh-2.0
0,1002,2,djruh,world,-3.0,1002|2worlddjruh-3.0
0,1002,3,world,djruh,5.0,1002|3worlddjruh5.0
0,1002,4,hjmxr,world,-163.0,1002|4worldhjmxr-163.0
0,1002,5,world,hjmxr,158.0,1002|5worldhjmxr158.0
0,1002,8,world,hipzw,22.0,1002|8worldhipzw22.0
0,1002,9,world,hipzw,13.0,1002|9worldhipzw13.0
0,1002,11,hipzw,world,-24.0,1002|11worldhipzw-24.0
0,1002,13,world,wizey,18.0,1002|13worldwizey18.0
0,1002,15,wizey,world,-18.0,1002|15worldwizey-18.0
0,1002,16,uitcq,world,-21.0,1002|16worlduitcq-21.0
0,1002,17,world,uitcq,18.0,1002|17worlduitcq18.0
0,1002,19,world,uitcq,35.0,1002|19worlduitcq35.0
0,1003,1,world,djruh,5.0,1003|1worlddjruh5.0
0,1003,2,world,djruh,9.0,1003|2worlddjruh9.0
0,1003,3,djruh,world,-6.0,1003|3worlddjruh-6.0
0,1003,4,world,hjmxr,271.0,1003|4worldhjmxr271.0
0,1003,5,hjmxr,world,-195.0,1003|5worldhjmxr-195.0
0,1003,8,world,hipzw,22.0,1003|8worldhipzw22.0
0,1003,9,hipzw,world,-32.0,1003|9worldhipzw-32.0
0,1003,11,hipzw,world,-1.0,1003|11worldhipzw-1.0
0,1003,13,wizey,world,-63.0,1003|13worldwizey-63.0
0,1003,15,world,wizey,55.0,1003|15worldwizey55.0
0,1003,16,uitcq,world,-5.0,1003|16worlduitcq-5.0
0,1003,17,world,uitcq,4.0,1003|17worlduitcq4.0
0,1003,19,world,uitcq,8.0,1003|19worlduitcq8.0
0,1004,1,world,djruh,5.0,1004|1worlddjruh5.0
0,1004,2,world,djruh,3.0,1004|2worlddjruh3.0
