,time,portfolio,stock,order
0,992,bsfah,5,-1.0
1,992,bsfah,8,1.0
2,993,bsfah,0,-1.0
3,993,bsfah,2,-1.0
4,993,bsfah,5,4.0
5,993,fpmrk,2,-1.0
6,993,xkvbi,5,2.0
7,993,xkvbi,2,-2.0
8,993,xkvbi,0,-1.0
9,993,xkvbi,11,-1.0
10,993,xkvbi,14,1.0
11,994,bsfah,0,1.0
12,994,bsfah,2,1.0
13,994,bsfah,6,1.0
14,994,bsfah,8,-2.0
15,994,bsfah,11,1.0
16,994,fpmrk,2,1.0
17,994,fpmrk,8,-1.0
18,994,xkvbi,5,1.0
19,994,xkvbi,2,2.0
20,994,xkvbi,8,-1.0
21,994,xkvbi,0,1.0
22,994,xkvbi,11,1.0
23,994,xkvbi,6,1.0
24,994,xkvbi,17,1.0
25,994,xkvbi,14,-1.0
26,995,bsfah,0,-4.0
27,995,bsfah,8,2.0
28,995,bsfah,11,-1.0
29,995,fpmrk,8,1.0
30,995,fpmrk,0,-1.0
31,995,xkvbi,8,1.0
32,995,xkvbi,0,-3.0
33,995,xkvbi,17,-1.0
34,996,bsfah,0,2.0
35,996,bsfah,2,1.0
36,996,bsfah,5,1.0
37,996,bsfah,6,-2.0
38,996,bsfah,8,-3.0
39,996,bsfah,11,3.0
40,996,fpmrk,8,-1.0
41,996,fpmrk,0,1.0
42,996,vahzp,11,1.0
43,996,xkvbi,5,1.0
44,996,xkvbi,8,-2.0
45,996,xkvbi,0,1.0
46,996,xkvbi,11,2.0
47,996,xkvbi,6,-1.0
48,996,zrdwn,11,1.0
49,997,bsfah,0,2.0
50,997,bsfah,2,3.0
51,997,bsfah,5,3.0
52,997,bsfah,6,-3.0
53,997,bsfah,8,-3.0
54,997,bsfah,11,1.0
55,997,vahzp,11,-1.0
56,997,vahzp,6,-1.0
57,997,xkvbi,5,1.0
58,997,xkvbi,2,2.0
59,997,xkvbi,8,-3.0
60,997,xkvbi,0,1.0
61,997,xkvbi,6,-4.0
62,997,xkvbi,17,2.0
63,998,bsfah,0,-3.0
64,998,bsfah,2,-3.0
65,998,bsfah,5,1.0
66,998,bsfah,6,2.0
67,998,bsfah,11,2.0
68,998,fpmrk,0,-1.0
69,998,vahzp,11,1.0
70,998,xkvbi,5,1.0
71,998,xkvbi,2,-2.0
72,998,xkvbi,0,-2.0
73,998,xkvbi,11,1.0
74,998,xkvbi,6,2.0
75,998,xkvbi,17,-1.0
76,998,xkvbi,14,1.0
77,999,bsfah,5,1.0
78,999,bsfah,6,-1.0
79,999,bsfah,8,-1.0
80,999,bsfah,11,1.0
81,999,vahzp,18,-1.0
82,999,xkvbi,5,1.0
83,999,xkvbi,2,-1.0
84,999,xkvbi,8,-1.0
85,999,xkvbi,6,-1.0
86,999,xkvbi,17,-1.0
87,999,xkvbi,14,2.0
88,1000,bsfah,0,1.0
89,1000,bsfah,2,-3.0
90,1000,bsfah,5,-2.0
91,1000,bsfah,6,2.0
92,1000,bsfah,8,2.0
93,1000,bsfah,11,2.0
94,1000,fpmrk,2,-1.0
95,1000,fpmrk,0,1.0
96,1000,xkvbi,5,-2.0
97,1000,xkvbi,2,-2.0
98,1000,xkvbi,8,2.0
99,1000,xkvbi,0,1.0
100,1000,xkvbi,11,2.0
101,1000,xkvbi,6,1.0
102,1000,xkvbi,17,1.0
103,1000,xkvbi,14,-1.0
104,1001,bsfah,0,1.0
105,1001,bsfah,2,-2.0
106,1001,bsfah,6,-1.0
107,1001,bsfah,8,1.0
108,1001,bsfah,11,2.0
109,1001,fpmrk,17,1.0
110,1001,vahzp,18,1.0
111,1001,xkvbi,2,-2.0
112,1001,xkvbi,11,1.0
113,1001,xkvbi,6,-1.0
114,1001,xkvbi,17,2.0
115,1002,bsfah,2,-1.0
116,1002,bsfah,4,1.0
117,1002,bsfah,5,1.0
118,1002,bsfah,6,2.0
119,1002,bsfah,8,2.0
120,1002,bsfah,11,-1.0
121,1002,fpmrk,18,1.0
122,1002,fpmrk,17,-1.0
123,1002,fpmrk,0,-1.0
124,1002,xkvbi,5,1.0
125,1002,xkvbi,2,-1.0
126,1002,xkvbi,8,2.0
127,1002,xkvbi,4,1.0
128,1002,xkvbi,11,-1.0
129,1002,xkvbi,6,1.0
130,1002,xkvbi,17,-1.0
131,1002,zrdwn,6,-1.0
132,1002,zrdwn,0,-1.0
133,1002,zrdwn,5,1.0
134,1003,bsfah,0,-2.0
135,1003,bsfah,4,5.0
136,1003,bsfah,5,4.0
137,1003,bsfah,6,-6.0
138,1003,bsfah,8,2.0
139,1003,bsfah,11,-3.0
140,1003,fpmrk,14,1.0
141,1003,fpmrk,18,-1.0
142,1003,fpmrk,17,1.0
143,1003,fpmrk,6,-1.0
144,1003,vahzp,11,-1.0
145,1003,vahzp,2,-1.0
146,1003,vahzp,5,1.0
147,1003,xkvbi,5,3.0
148,1003,xkvbi,2,-1.0
149,1003,xkvbi,0,-2.0
150,1003,xkvbi,4,3.0
151,1003,xkvbi,11,-4.0
152,1003,xkvbi,6,-5.0
153,1003,xkvbi,17,1.0
154,1003,xkvbi,14,2.0
155,1004,bsfah,0,1.0
156,1004,bsfah,2,-2.0
157,1004,bsfah,4,2.0
158,1004,bsfah,5,-3.0
159,1004,bsfah,6,-1.0
160,1004,bsfah,8,-1.0
161,1004,bsfah,11,3.0
162,1004,fpmrk,4,1.0
163,1004,vahzp,11,1.0
164,1004,vahzp,4,1.0
165,1004,vahzp,5,-1.0
166,1004,xkvbi,5,-2.0
167,1004,xkvbi,2,-1.0
168,1004,xkvbi,4,1.0
169,1004,xkvbi,11,2.0
170,1004,zrdwn,17,1.0
171,1004,zrdwn,6,-1.0
172,1005,bsfah,0,2.0
173,1005,bsfah,4,-8.0
174,1005,bsfah,5,1.0
175,1005,bsfah,6,1.0
176,1005,bsfah,8,-3.0
177,1005,bsfah,11,5.0
178,1005,fpmrk,4,-1.0
179,1005,fpmrk,18,1.0
180,1005,vahzp,17,1.0
181,1005,vahzp,4,-1.0
182,1005,xkvbi,2,-1.0
183,1005,xkvbi,8,-3.0
184,1005,xkvbi,0,1.0
185,1005,xkvbi,4,-5.0
186,1005,xkvbi,11,3.0
187,1005,xkvbi,17,3.0
188,1005,xkvbi,14,1.0
189,1006,bsfah,0,1.0
190,1006,bsfah,5,3.0
191,1006,bsfah,8,-2.0
192,1006,bsfah,11,1.0
193,1006,vahzp,5,1.0
194,1006,xkvbi,5,2.0
195,1006,xkvbi,8,-2.0
196,1006,xkvbi,0,-1.0
197,1006,xkvbi,6,-1.0
198,1006,xkvbi,17,2.0
199,1007,bsfah,0,2.0
200,1007,bsfah,5,-3.0
201,1007,bsfah,6,5.0
202,1007,bsfah,8,-3.0
203,1007,bsfah,11,1.0
204,1007,fpmrk,6,1.0
205,1007,vahzp,14,1.0
206,1007,vahzp,5,-1.0
207,1007,xkvbi,5,-3.0
208,1007,xkvbi,2,-1.0
209,1007,xkvbi,8,-2.0
210,1007,xkvbi,0,1.0
211,1007,xkvbi,11,-1.0
212,1007,xkvbi,6,4.0
213,1007,xkvbi,17,2.0
214,1007,xkvbi,14,2.0
215,1007,zrdwn,17,1.0
216,1007,zrdwn,11,-1.0
217,1008,bsfah,0,-1.0
218,1008,bsfah,5,1.0
219,1008,bsfah,6,-9.0
220,1008,bsfah,8,2.0
221,1008,bsfah,11,2.0
222,1008,fpmrk,17,1.0
223,1008,fpmrk,6,-1.0
224,1008,vahzp,14,-1.0
225,1008,vahzp,6,-1.0
226,1008,xkvbi,5,1.0
227,1008,xkvbi,8,1.0
228,1008,xkvbi,11,1.0
229,1008,xkvbi,6,-7.0
230,1008,xkvbi,17,2.0
231,1008,xkvbi,14,-1.0
232,1008,zrdwn,6,-1.0
233,1008,zrdwn,11,1.0
234,1009,fpmrk,2,-1.0
235,1009,vahzp,6,1.0
236,1010,vahzp,6,-1.0
237,1011,zrdwn,17,1.0
238,1011,zrdwn,0,-1.0
239,1011,zrdwn,11,-1.0
240,1011,zrdwn,5,-1.0
241,1012,fpmrk,14,-1.0
242,1012,vahzp,6,1.0
243,1012,xkvbi,5,-1.0
244,1012,xkvbi,8,2.0
245,1012,xkvbi,0,-2.0
246,1012,xkvbi,11,-1.0
247,1012,xkvbi,6,1.0
248,1012,xkvbi,17,5.0
249,1012,xkvbi,14,-3.0
250,1012,zrdwn,5,1.0
251,1013,vahzp,17,1.0
252,1013,vahzp,18,1.0
253,1013,xkvbi,5,-1.0
254,1013,xkvbi,8,1.0
255,1013,xkvbi,0,3.0
256,1013,xkvbi,11,2.0
257,1013,xkvbi,6,-1.0
258,1013,xkvbi,14,-1.0
259,1015,xkvbi,5,-1.0
260,1015,xkvbi,2,-1.0
261,1015,xkvbi,8,3.0
262,1015,xkvbi,0,1.0
263,1015,xkvbi,11,-2.0
264,1015,xkvbi,6,1.0
265,1015,xkvbi,14,-2.0
266,1016,fpmrk,2,1.0
267,1016,fpmrk,18,1.0
268,1016,fpmrk,0,1.0
269,1016,vahzp,17,-1.0
270,1016,vahzp,6,-1.0
271,1016,xkvbi,5,1.0
272,1016,xkvbi,2,2.0
273,1016,xkvbi,11,3.0
274,1016,xkvbi,6,-1.0
275,1016,xkvbi,17,-1.0
276,1016,xkvbi,14,-1.0
277,1017,vahzp,17,1.0
278,1017,xkvbi,5,-2.0
279,1017,xkvbi,8,-2.0
280,1017,xkvbi,11,-1.0
281,1017,xkvbi,6,-1.0
282,1017,xkvbi,17,1.0
283,1017,xkvbi,14,1.0
284,1018,fpmrk,0,-1.0
285,1018,vahzp,17,-1.0
286,1019,fpmrk,6,-1.0
287,1019,fpmrk,0,1.0
288,1020,fpmrk,2,-1.0
289,1021,fpmrk,8,1.0
290,1021,vahzp,17,1.0
291,1021,vahzp,18,1.0
292,1021,vahzp,5,1.0
293,1022,fpmrk,2,1.0
294,1022,fpmrk,18,1.0
295,1022,fpmrk,8,-1.0
296,1022,fpmrk,6,1.0
297,1022,vahzp,11,-1.0
298,1023,vahzp,14,-1.0
299,1024,vahzp,14,1.0
300,1025,fpmrk,6,-1.0
301,1028,vahzp,11,1.0
302,1028,vahzp,0,1.0
303,1029,vahzp,11,-1.0
304,1029,vahzp,0,-1.0
305,1029,vahzp,2,1.0
306,1030,fpmrk,18,-1.0
307,1031,fpmrk,17,1.0
308,1031,vahzp,14,-1.0
309,1032,fpmrk,18,1.0
310,1032,fpmrk,17,-1.0
311,1032,fpmrk,6,-1.0
312,1032,fpmrk,0,-1.0
313,1032,vahzp,6,-1.0
314,1032,xkvbi,5,6.0
315,1032,xkvbi,2,4.0
316,1032,xkvbi,8,3.0
317,1032,xkvbi,11,-3.0
318,1032,xkvbi,6,-10.0
319,1032,xkvbi,17,5.0
320,1032,xkvbi,14,-3.0
321,1033,fpmrk,14,-1.0
322,1033,fpmrk,8,1.0
323,1033,fpmrk,0,1.0
324,1033,vahzp,11,1.0
325,1034,fpmrk,14,1.0
326,1034,fpmrk,8,-1.0
327,1034,vahzp,11,-1.0
328,1035,fpmrk,14,-1.0
329,1035,fpmrk,8,1.0
330,1035,vahzp,17,-1.0
331,1035,vahzp,18,1.0
332,1036,vahzp,11,1.0
333,1036,vahzp,0,1.0
334,1037,fpmrk,2,1.0
335,1037,fpmrk,17,-1.0
336,1037,vahzp,11,-1.0
337,1037,vahzp,0,-1.0
338,1038,fpmrk,18,1.0
339,1038,fpmrk,17,1.0
340,1038,vahzp,2,1.0
341,1039,fpmrk,18,-1.0
342,1039,fpmrk,6,-1.0
343,1039,vahzp,17,1.0
344,1039,vahzp,5,-1.0
345,1039,vahzp,6,-1.0
346,1040,fpmrk,18,1.0
347,1040,fpmrk,17,-1.0
348,1040,vahzp,11,1.0
349,1040,vahzp,17,-1.0
350,1040,vahzp,0,1.0
351,1041,fpmrk,2,1.0
352,1041,vahzp,14,-1.0
353,1041,vahzp,0,-1.0
354,1043,fpmrk,7,1.0
355,1043,fpmrk,14,-1.0
356,1044,vahzp,5,-1.0
357,1044,vahzp,7,1.0
358,1045,fpmrk,14,1.0
359,1045,fpmrk,8,-1.0
360,1045,vahzp,14,1.0
361,1046,bsfah,0,-6.0
362,1046,bsfah,2,22.0
363,1046,bsfah,5,-14.0
364,1046,bsfah,6,-38.0
365,1046,bsfah,7,6.0
366,1046,bsfah,8,1.0
367,1046,bsfah,11,-15.0
368,1046,vahzp,17,-1.0
369,1046,vahzp,2,1.0
370,1046,vahzp,5,1.0
371,1046,vahzp,7,-1.0
372,1047,bsfah,0,-1.0
373,1047,bsfah,2,1.0
374,1047,bsfah,5,1.0
375,1047,bsfah,7,4.0
