,ToS,stock,seller,buyer,volume,tradeID
0,992,5,bsfah,world,-1.0,992|5worldbsfah-1.0
0,992,8,world,bsfah,1.0,992|8worldbsfah1.0
0,993,0,bsfah,world,-1.0,993|0worldbsfah-1.0
0,993,2,bsfah,world,-1.0,993|2worldbsfah-1.0
0,993,5,world,bsfah,4.0,993|5worldbsfah4.0
0,993,2,fpmrk,world,-1.0,993|2worldfpmrk-1.0
0,993,5,world,xkvbi,2.0,993|5worldxkvbi2.0
0,993,2,xkvbi,world,-2.0,993|2worldxkvbi-2.0
0,993,0,xkvbi,world,-1.0,993|0worldxkvbi-1.0
0,993,11,xkvbi,world,-1.0,993|11worldxkvbi-1.0
0,993,14,world,xkvbi,1.0,993|14worldxkvbi1.0
0,994,0,world,bsfah,1.0,994|0worldbsfah1.0
0,994,2,world,bsfah,1.0,994|2worldbsfah1.0
0,994,6,world,bsfah,1.0,994|6worldbsfah1.0
0,994,8,bsfah,world,-2.0,994|8worldbsfah-2.0
0,994,11,world,bsfah,1.0,994|11worldbsfah1.0
0,994,2,world,fpmrk,1.0,994|2worldfpmrk1.0
0,994,8,fpmrk,world,-1.0,994|8worldfpmrk-1.0
0,994,5,world,xkvbi,1.0,994|5worldxkvbi1.0
0,994,2,world,xkvbi,2.0,994|2worldxkvbi2.0
0,994,8,xkvbi,world,-1.0,994|8worldxkvbi-1.0
0,994,0,world,xkvbi,1.0,994|0worldxkvbi1.0
0,994,11,world,xkvbi,1.0,994|11worldxkvbi1.0
0,994,6,world,xkvbi,1.0,994|6worldxkvbi1.0
0,994,17,world,xkvbi,1.0,994|17worldxkvbi1.0
0,994,14,xkvbi,world,-1.0,994|14worldxkvbi-1.0
0,995,0,bsfah,world,-4.0,995|0worldbsfah-4.0
0,995,8,world,bsfah,2.0,995|8worldbsfah2.0
0,995,11,bsfah,world,-1.0,995|11worldbsfah-1.0
0,995,8,world,fpmrk,1.0,995|8worldfpmrk1.0
0,995,0,fpmrk,world,-1.0,995|0worldfpmrk-1.0
0,995,8,world,xkvbi,1.0,995|8worldxkvbi1.0
0,995,0,xkvbi,world,-3.0,995|0worldxkvbi-3.0
0,995,17,xkvbi,world,-1.0,995|17worldxkvbi-1.0
0,996,0,world,bsfah,2.0,996|0worldbsfah2.0
0,996,2,world,bsfah,1.0,996|2worldbsfah1.0
0,996,5,world,bsfah,1.0,996|5worldbsfah1.0
0,996,6,bsfah,world,-2.0,996|6worldbsfah-2.0
0,996,8,bsfah,world,-3.0,996|8worldbsfah-3.0
0,996,11,world,bsfah,3.0,996|11worldbsfah3.0
0,996,11,world,vahzp,1.0,996|11worldvahzp1.0
0,996,11,world,zrdwn,1.0,996|11worldzrdwn1.0
0,996,8,fpmrk,world,-1.0,996|8worldfpmrk-1.0
0,996,0,world,fpmrk,1.0,996|0worldfpmrk1.0
0,996,5,world,xkvbi,1.0,996|5worldxkvbi1.0
0,996,8,xkvbi,world,-2.0,996|8worldxkvbi-2.0
0,996,0,world,xkvbi,1.0,996|0worldxkvbi1.0
0,996,11,world,xkvbi,2.0,996|11worldxkvbi2.0
