,time,portfolio,stock,order
0,992,htqcb,4,-26.0
1,992,htqcb,3,10.0
2,992,htqcb,11,-2.0
3,992,htqcb,5,-12.0
4,992,htqcb,9,5.0
5,992,htqcb,13,-5.0
6,992,htqcb,1,3.0
7,992,khbwj,15,-13.0
8,992,khbwj,17,-10.0
9,992,khbwj,11,4.0
10,992,khbwj,13,-3.0
11,992,khbwj,2,30.0
12,992,khbwj,5,-13.0
13,992,kwuzt,5,-8.0
14,992,kwuzt,2,1.0
15,992,kwuzt,3,3.0
16,992,kwuzt,0,-1.0
17,992,kwuzt,13,-3.0
18,992,kwuzt,11,-5.0
19,992,kwuzt,1,-3.0
20,992,kwuzt,16,10.0
21,992,kwuzt,4,-18.0
22,992,sjiwv,2,2.0
23,992,sjiwv,1,-3.0
24,992,sjiwv,0,-1.0
25,992,sjiwv,3,3.0
26,992,sjiwv,11,-6.0
27,992,sjiwv,9,3.0
28,992,tlzxo,13,-2.0
29,992,tlzxo,17,-6.0
30,992,tlzxo,19,-4.0
31,992,tlzxo,5,-10.0
32,992,tlzxo,1,15.0
33,992,tlzxo,0,-1.0
34,993,htqcb,4,-2.0
35,993,htqcb,3,1.0
36,993,htqcb,11,-1.0
37,993,htqcb,5,2.0
38,993,htqcb,9,2.0
39,993,htqcb,13,-1.0
40,993,htqcb,1,-1.0
41,993,khbwj,15,3.0
42,993,khbwj,17,-3.0
43,993,khbwj,11,2.0
44,993,khbwj,13,-1.0
45,993,khbwj,2,-3.0
46,993,khbwj,5,3.0
47,993,kwuzt,5,1.0
48,993,kwuzt,2,-2.0
49,993,kwuzt,3,2.0
50,993,kwuzt,11,1.0
51,993,kwuzt,1,1.0
52,993,kwuzt,16,-1.0
53,993,kwuzt,4,-1.0
54,993,sjiwv,2,-3.0
55,993,sjiwv,3,2.0
56,993,sjiwv,11,1.0
57,993,sjiwv,9,2.0
58,993,tlzxo,13,-1.0
59,993,tlzxo,17,-3.0
60,993,tlzxo,5,2.0
61,993,tlzxo,1,-1.0
62,994,htqcb,4,7.0
63,994,htqcb,11,-6.0
64,994,htqcb,5,3.0
65,994,htqcb,9,-1.0
66,994,khbwj,15,-2.0
67,994,khbwj,17,2.0
68,994,khbwj,11,-7.0
69,994,khbwj,13,-1.0
70,994,khbwj,2,1.0
71,994,khbwj,5,4.0
72,994,kwuzt,5,2.0
73,994,kwuzt,2,1.0
74,994,kwuzt,3,-1.0
75,994,kwuzt,13,-1.0
76,994,kwuzt,11,-4.0
77,994,kwuzt,4,4.0
78,994,sjiwv,2,2.0
79,994,sjiwv,1,1.0
80,994,sjiwv,11,-4.0
81,994,sjiwv,9,-1.0
82,994,tlzxo,13,-1.0
83,994,tlzxo,19,1.0
84,994,tlzxo,5,3.0
85,994,tlzxo,1,-1.0
86,995,htqcb,3,-1.0
87,995,htqcb,11,1.0
88,995,htqcb,5,2.0
89,995,htqcb,9,1.0
90,995,htqcb,13,2.0
91,995,htqcb,1,-1.0
92,995,khbwj,15,3.0
93,995,khbwj,17,-3.0
94,995,khbwj,11,-1.0
95,995,khbwj,13,2.0
96,995,khbwj,5,1.0
97,995,kwuzt,5,1.0
98,995,kwuzt,2,1.0
99,995,kwuzt,13,1.0
100,995,kwuzt,11,1.0
101,995,kwuzt,1,-1.0
102,995,kwuzt,16,-1.0
103,995,sjiwv,2,1.0
104,995,sjiwv,1,-1.0
105,995,sjiwv,3,-1.0
106,995,sjiwv,9,1.0
107,995,tlzxo,13,2.0
108,995,tlzxo,17,-1.0
109,995,tlzxo,19,2.0
110,995,tlzxo,5,1.0
111,995,tlzxo,1,-2.0
112,996,htqcb,3,1.0
113,996,htqcb,11,-3.0
114,996,htqcb,5,1.0
115,996,htqcb,9,-2.0
116,996,htqcb,13,-1.0
117,996,htqcb,1,2.0
118,996,khbwj,15,1.0
119,996,khbwj,11,-3.0
120,996,khbwj,5,1.0
121,996,kwuzt,5,1.0
122,996,kwuzt,2,-1.0
123,996,kwuzt,11,-2.0
124,996,kwuzt,1,2.0
125,996,kwuzt,16,-1.0
126,996,kwuzt,4,1.0
127,996,sjiwv,2,-1.0
128,996,sjiwv,1,2.0
129,996,sjiwv,3,1.0
130,996,sjiwv,11,-2.0
131,996,sjiwv,9,-1.0
132,996,tlzxo,13,-1.0
133,996,tlzxo,17,-1.0
134,996,tlzxo,5,1.0
135,996,tlzxo,1,1.0
136,997,htqcb,4,7.0
137,997,htqcb,3,1.0
138,997,htqcb,11,1.0
139,997,htqcb,9,-1.0
140,997,htqcb,13,2.0
141,997,htqcb,1,-3.0
142,997,khbwj,15,5.0
143,997,khbwj,17,-1.0
144,997,khbwj,11,-1.0
145,997,khbwj,13,2.0
146,997,khbwj,2,-3.0
147,997,kwuzt,2,1.0
148,997,kwuzt,3,2.0
149,997,kwuzt,13,1.0
150,997,kwuzt,1,-2.0
151,997,kwuzt,16,-1.0
152,997,kwuzt,4,4.0
153,997,sjiwv,2,2.0
154,997,sjiwv,1,-1.0
155,997,sjiwv,3,1.0
156,997,sjiwv,11,1.0
157,997,sjiwv,9,-1.0
158,997,tlzxo,13,2.0
159,997,tlzxo,17,-1.0
160,997,tlzxo,19,4.0
161,997,tlzxo,1,-4.0
162,998,htqcb,4,-1.0
163,998,htqcb,11,3.0
164,998,htqcb,5,-2.0
165,998,htqcb,9,1.0
166,998,khbwj,15,-2.0
167,998,khbwj,11,5.0
168,998,khbwj,2,-1.0
169,998,khbwj,5,-2.0
170,998,kwuzt,5,-1.0
171,998,kwuzt,2,-1.0
172,998,kwuzt,11,3.0
173,998,sjiwv,2,-2.0
174,998,sjiwv,1,-1.0
175,998,sjiwv,3,1.0
176,998,sjiwv,11,3.0
177,998,sjiwv,9,1.0
178,998,tlzxo,19,1.0
179,998,tlzxo,5,-2.0
180,998,tlzxo,1,1.0
181,999,htqcb,4,6.0
182,999,htqcb,3,-2.0
183,999,htqcb,11,4.0
184,999,htqcb,5,-1.0
185,999,htqcb,9,4.0
186,999,htqcb,1,-4.0
187,999,khbwj,15,-1.0
188,999,khbwj,17,-2.0
189,999,khbwj,11,5.0
190,999,khbwj,5,-2.0
191,999,kwuzt,5,-1.0
192,999,kwuzt,2,1.0
193,999,kwuzt,3,-1.0
194,999,kwuzt,11,3.0
195,999,kwuzt,1,-1.0
196,999,kwuzt,4,3.0
197,999,sjiwv,2,1.0
198,999,sjiwv,1,-2.0
199,999,sjiwv,3,-2.0
200,999,sjiwv,11,3.0
201,999,sjiwv,9,3.0
202,999,tlzxo,17,-1.0
203,999,tlzxo,19,6.0
204,999,tlzxo,5,-1.0
205,999,tlzxo,1,-4.0
206,1000,htqcb,4,2.0
207,1000,htqcb,3,1.0
208,1000,htqcb,11,2.0
209,1000,htqcb,5,1.0
210,1000,htqcb,9,-3.0
211,1000,htqcb,13,2.0
212,1000,htqcb,1,-2.0
213,1000,khbwj,15,-3.0
214,1000,khbwj,17,-1.0
215,1000,khbwj,11,2.0
216,1000,khbwj,13,2.0
217,1000,khbwj,2,-1.0
218,1000,khbwj,5,2.0
219,1000,kwuzt,2,-1.0
220,1000,kwuzt,13,1.0
221,1000,kwuzt,1,-3.0
222,1000,kwuzt,16,1.0
223,1000,kwuzt,4,1.0
