,time,portfolio,stock,order
1,993,djruh,1,2.0
2,993,djruh,2,-31.0
3,993,djruh,3,26.0
0,993,hjmxr,4,-567.0
1,993,hjmxr,5,409.0
0,993,hipzw,8,-30.0
1,993,hipzw,9,62.0
3,993,hipzw,11,10.0
1,993,wizey,13,-90.0
3,993,wizey,15,76.0
0,993,uitcq,16,-3.0
1,993,uitcq,17,-43.0
3,993,uitcq,19,17.0
1,994,djruh,1,1.0
2,994,djruh,2,2.0
3,994,djruh,3,-10.0
0,994,hjmxr,4,178.0
1,994,hjmxr,5,-163.0
0,994,hipzw,8,34.0
3,994,hipzw,11,-53.0
1,994,wizey,13,-11.0
3,994,wizey,15,-34.0
0,994,uitcq,16,-30.0
1,994,uitcq,17,15.0
3,994,uitcq,19,39.0
1,995,djruh,1,-4.0
2,995,djruh,2,19.0
3,995,djruh,3,-8.0
0,995,hjmxr,4,21.0
1,995,hjmxr,5,-3.0
0,995,hipzw,8,4.0
1,995,hipzw,9,18.0
3,995,hipzw,11,-15.0
1,995,wizey,13,-4.0
3,995,wizey,15,-1.0
0,995,uitcq,16,1.0
1,995,uitcq,17,-16.0
3,995,uitcq,19,20.0
1,996,djruh,1,13.0
2,996,djruh,2,-17.0
3,996,djruh,3,8.0
0,996,hjmxr,4,-214.0
1,996,hjmxr,5,156.0
0,996,hipzw,8,85.0
1,996,hipzw,9,-18.0
3,996,hipzw,11,-117.0
1,996,wizey,13,13.0
3,996,wizey,15,-26.0
0,996,uitcq,16,-33.0
1,996,uitcq,17,-1.0
3,996,uitcq,19,46.0
1,997,djruh,1,-18.0
2,997,djruh,2,13.0
3,997,djruh,3,17.0
0,997,hjmxr,4,484.0
1,997,hjmxr,5,-384.0
0,997,hipzw,8,-2.0
1,997,hipzw,9,-64.0
3,997,hipzw,11,40.0
1,997,wizey,13,10.0
3,997,wizey,15,33.0
0,997,uitcq,16,-32.0
1,997,uitcq,17,-5.0
3,997,uitcq,19,54.0
1,998,djruh,1,4.0
2,998,djruh,2,-3.0
3,998,djruh,3,8.0
0,998,hjmxr,4,169.0
1,998,hjmxr,5,-155.0
0,998,hipzw,8,-52.0
1,998,hipzw,9,7.0
3,998,hipzw,11,59.0
1,998,wizey,13,4.0
0,998,uitcq,16,2.0
1,998,uitcq,17,-5.0
3,998,uitcq,19,-8.0
1,999,djruh,1,-16.0
2,999,djruh,2,25.0
3,999,djruh,3,-5.0
0,999,hjmxr,4,443.0
1,999,hjmxr,5,-402.0
0,999,hipzw,8,-95.0
1,999,hipzw,9,93.0
3,999,hipzw,11,29.0
1,999,wizey,13,-1.0
3,999,wizey,15,36.0
0,999,uitcq,16,-13.0
1,999,uitcq,17,-40.0
3,999,uitcq,19,40.0
